lat,long,tot_hh,tot_illt,tot_lit,tot_pop,tot_sc,tot_st,tot_w,w_hh_income_10l_above_perc,w_hh_income_5l_above_perc,w_hh_income_20l_above_perc,w_pop_tt,pop_age_0_18_perc,pop_age_18_60_perc,pop_age_60_above_perc,pop_ratio_fm,avail_assets_comp_intnt_perc,avail_assets_comp_no_intnt_perc,avail_assets_tele_mob_mob_only_perc,avail_assets_tv_perc,f_illt_perc,f_l6_perc,f_lit_perc,f_pop_perc,f_sc_perc,f_st_perc,f_w_perc,hh_sz_1_perc,hh_sz_2_perc,hh_sz_3_perc,hh_sz_4_perc,hh_sz_5_perc,hh_sz_6_8_perc,hh_sz_9_plus_perc,m_illt_perc,m_lit_perc,m_pop_perc,m_sc_perc,m_st_perc,m_w_perc,mrd_cpl_1_perc,mrd_cpl_2_perc,mrd_cpl_3_perc,mrd_cpl_4_perc,mrd_cpl_5_plus_perc,mrd_cpl_none_perc,tot_illt_perc,tot_lit_perc,tot_sc_perc,tot_st_perc,tot_w_perc
18.89729230568238,72.80800247547897,208.0,181.0,728.0,909.0,100.0,11.0,345.0,79.09,82.74,74.51,875.0,25.04,65.92,8.54,,8.173,10.096,62.981,74.519,11.001,4.51,36.854,47.965,5.391,0.55,7.811,3.846,10.096,22.115,26.923,16.346,16.827,4.327,8.911,43.234,52.145,5.611,0.66,30.143,70.673,12.019,2.404,0.481,0.0,13.942,19.912,80.088,11.001,1.21,37.954
18.89729230568238,72.8118004446248,424.0,370.0,1488.0,1858.0,205.0,22.0,705.0,96.16,100.06,90.44,1747.0,25.04,65.92,8.54,,8.491,10.142,63.208,74.764,11.033,4.467,36.868,47.901,5.382,0.592,7.804,4.009,10.377,21.934,26.651,16.274,16.745,4.245,8.881,43.219,52.099,5.651,0.592,30.14,70.755,12.264,2.594,0.472,0.0,14.151,19.914,80.086,11.033,1.184,37.944
18.900885566818857,72.8042058110722,96.0,84.0,337.0,421.0,46.0,5.0,160.0,0.0,0.0,0.0,769.0,0.0,0.0,0.0,,8.333,10.417,63.542,75.0,10.926,4.513,36.817,47.981,5.463,0.475,7.838,4.167,10.417,21.875,27.083,16.667,16.667,4.167,8.789,43.23,52.019,5.701,0.713,30.166,70.833,12.5,2.083,0.0,0.0,14.583,19.952,80.048,10.926,1.188,38.005
18.900885566818857,72.8080038617642,395.0,344.0,1385.0,1730.0,191.0,21.0,656.0,96.19,100.37,89.79,1626.0,25.04,65.92,8.54,,8.354,10.127,63.291,74.684,11.04,4.451,36.879,47.919,5.376,0.578,7.803,4.051,10.38,22.025,26.835,16.203,16.709,4.051,8.844,43.237,52.081,5.607,0.636,30.116,70.633,12.152,2.532,0.506,0.0,14.177,19.884,80.058,11.04,1.214,37.919
18.900885566818857,72.81180191245622,561.0,489.0,1966.0,2455.0,271.0,29.0,931.0,96.23,99.7,88.95,2307.0,25.04,65.92,8.54,,8.378,10.16,63.28,74.688,11.039,4.44,36.864,47.902,5.418,0.57,7.821,3.922,10.339,21.925,26.738,16.221,16.578,4.1,8.88,43.218,52.098,5.621,0.611,30.102,70.588,12.121,2.496,0.357,0.178,14.082,19.919,80.081,11.039,1.181,37.923
18.900885566818857,72.81559996314823,386.0,336.0,1352.0,1688.0,186.0,20.0,640.0,96.24,99.64,88.73,1650.0,25.04,65.92,8.54,,8.29,10.104,63.212,74.611,11.019,4.443,36.848,47.927,5.391,0.592,7.82,3.886,10.363,22.021,26.684,16.062,16.58,4.145,8.886,43.187,52.073,5.628,0.592,30.095,70.466,12.176,2.591,0.518,0.0,14.249,19.905,80.095,11.019,1.185,37.915
18.904478827955334,72.80420711610637,250.0,218.0,878.0,1096.0,121.0,13.0,416.0,19.59,20.41,17.93,1450.0,0.0,0.0,0.0,,8.4,10.4,63.2,74.8,11.04,4.471,36.861,47.901,5.383,0.547,7.847,4.0,10.4,22.0,26.8,16.4,16.8,4.0,8.85,43.248,52.099,5.657,0.639,30.109,70.8,12.0,2.4,0.4,0.0,14.0,19.891,80.109,11.04,1.186,37.956
18.904478827955334,72.80800524836302,635.0,554.0,2227.0,2781.0,307.0,33.0,1055.0,95.79,99.92,87.68,2614.0,25.04,65.92,8.54,,8.346,10.236,63.307,74.646,11.039,4.459,36.857,47.896,5.394,0.575,7.839,3.937,10.394,22.047,26.772,16.22,16.693,4.094,8.882,43.222,52.104,5.645,0.611,30.097,70.551,12.126,2.52,0.472,0.157,14.173,19.921,80.079,11.039,1.187,37.936
18.904478827955334,72.81180338061966,657.0,573.0,2303.0,2875.0,317.0,35.0,1091.0,95.89,99.45,88.05,2703.0,25.04,65.92,8.54,,8.371,10.198,63.166,74.581,11.026,4.452,36.87,47.896,5.391,0.591,7.826,3.957,10.35,21.918,26.788,16.134,16.591,4.11,8.87,43.235,52.104,5.635,0.626,30.122,70.624,12.177,2.435,0.457,0.152,14.155,19.93,80.104,11.026,1.217,37.948
18.904478827955334,72.81560151287631,534.0,466.0,1872.0,2338.0,258.0,28.0,887.0,95.86,99.68,88.22,2199.0,25.04,65.92,8.54,,8.427,10.3,63.296,74.719,11.035,4.448,36.869,47.904,5.389,0.599,7.827,3.933,10.3,21.91,26.779,16.292,16.667,4.12,8.854,43.199,52.096,5.646,0.599,30.111,70.599,12.172,2.434,0.375,0.187,14.232,19.932,80.068,11.035,1.198,37.938
